"","id","Value"
"1","dumb",57.4
"2","dumb",57.4
"3","dumb",57.4
"4","dumb",58.8
"5","dumb",58.8
"6","dumb",58.8
"7","dumb",58.8
"8","dumb",60.2
"9","dumb",60.2
"10","dumb",60.2
"11","dumb",60.2
"12","dumb",60.2
"13","dumb",61.6
"14","dumb",61.6
"15","dumb",61.6
"16","dumb",61.6
"17","dumb",63
"18","dumb",63
"19","dumb",63
"20","dumb",63
"21","dumb",64.4
"22","dumb",64.4
"23","dumb",64.4
"24","dumb",64.4
"25","dumb",65.8
"26","dumb",65.8
"27","dumb",65.8
"28","dumb",65.8
"29","dumb",65.8
"30","dumb",65.8
"31","dumb",67.2
"32","dumb",67.2
"33","dumb",67.2
"34","dumb",67.2
"35","dumb",67.2
"36","dumb",67.2
"37","dumb",68.6
"38","dumb",68.6
"39","dumb",68.6
"40","dumb",68.6
"41","dumb",68.6
"42","dumb",68.6
"43","dumb",70
"44","dumb",70
"45","dumb",70
"46","dumb",71.4
"47","dumb",71.4
"48","dumb",72.8
"49","dumb",72.8
"50","dumb",74.2
"51","dumb",74.2
"52","dumb",75.6
"53","dumb",75.6
"54","dumb",77
"55","dumb",77
"56","dumb",77
"57","dumb",78.4
"58","dumb",78.4
"59","dumb",79.8
"60","dumb",79.8
"61","dumb",79.8
"62","dumb",81.2
"63","dumb",81.2
"64","dumb",82.6
"65","dumb",82.6
"66","dumb",82.6
"67","dumb",84
"68","dumb",84
"69","dumb",84
"70","dumb",84
"71","dumb",84
"72","dumb",84
"73","dumb",84
"74","dumb",85.4
"75","dumb",85.4
"76","dumb",85.4
"77","dumb",85.4
"78","dumb",85.4
"79","dumb",85.4
"80","dumb",86.8
"81","dumb",86.8
"82","dumb",86.8
"83","dumb",86.8
"84","dumb",86.8
"85","dumb",88.2
"86","dumb",88.2
"87","dumb",88.2
"88","dumb",88.2
"89","dumb",89.6
"90","dumb",89.6
"91","dumb",89.6
"92","dumb",89.6
"93","dumb",89.6
"94","dumb",91
"95","dumb",91
"96","dumb",91
"97","dumb",92.4
"98","dumb",92.4
"99","dumb",93.8
"100","dumb",93.8
"101","dumb",93.8
"102","dumb",95.2
"103","dumb",95.2
"104","dumb",96.6
"105","dumb",96.6
"106","dumb",98
"107","dumb",98
"108","dumb",99.4
"109","dumb",99.4
"110","dumb",99.4
"111","dumb",100.8
"112","dumb",100.8
"113","dumb",100.8
"114","dumb",100.8
"115","dumb",102.2
"116","dumb",102.2
"117","dumb",102.2
"118","dumb",102.2
"119","dumb",103.6
"120","dumb",103.6
"121","dumb",103.6
"122","dumb",105
"123","dumb",105
"124","dumb",106.4
"125","dumb",107.8
"126","dumb",109.2
"127","dumb",109.2
"128","dumb",109.2
"129","dumb",109.2
"130","dumb",110.6
"131","dumb",110.6
"132","dumb",110.6
"133","dumb",112
"134","dumb",112
"135","dumb",112
"136","dumb",113.4
"137","dumb",114.8
"138","dumb",114.8
"139","dumb",116.2
"140","dumb",116.2
"141","dumb",116.2
"142","dumb",116.2
"143","dumb",117.6
"144","dumb",117.6
"145","dumb",117.6
"146","dumb",117.6
"147","dumb",119
"148","dumb",119
"149","dumb",120.4
"150","dumb",120.4
"151","dumb",120.4
"152","dumb",120.4
"153","dumb",121.8
"154","dumb",121.8
"155","dumb",121.8
"156","dumb",123.2
"157","dumb",123.2
"158","dumb",123.2
"159","dumb",124.6
"160","dumb",124.6
"161","dumb",124.6
"162","dumb",126
"163","dumb",126
"164","dumb",127.4
"165","dumb",128.8
"166","dumb",128.8
"167","dumb",130.2
"168","dumb",130.2
"169","dumb",130.2
"170","dumb",131.6
"171","dumb",131.6
"172","dumb",131.6
"173","dumb",131.6
"174","dumb",131.6
"175","dumb",133
"176","dumb",133
"177","dumb",133
"178","dumb",133
"179","dumb",133
"180","dumb",134.4
"181","dumb",134.4
"182","dumb",134.4
"183","dumb",134.4
"184","dumb",135.8
"185","dumb",135.8
"186","dumb",135.8
"187","dumb",135.8
"188","dumb",137.2
"189","dumb",137.2
"190","dumb",137.2
"191","dumb",137.2
"192","dumb",138.6
"193","dumb",138.6
"194","dumb",138.6
"195","dumb",140
"196","dumb",140
"197","dumb",140
"198","dumb",141.4
"199","dumb",141.4
"200","dumb",141.4
"201","dumb",141.4
"202","dumb",142.8
"203","dumb",142.8
"204","dumb",142.8
"205","dumb",144.2
"206","dumb",144.2
"207","dumb",145.6
"208","dumb",147
"209","dumb",147
"210","dumb",147
"211","dumb",148.4
"212","dumb",148.4
"213","dumb",148.4
